anio,consumo,marca
2014,4.1,wine
2014,6.1,wine
2014,10.7,wine
2014,5.1,wine
2014,3.2,wine
2014,3,wine
2014,8.5,wine
2014,4.9,wine
2014,9.6,wine
2014,5.5,wine
2014,10,wine
2014,5.8,wine
2014,0.4,wine
2014,5.3,wine
2014,6.6,wine
2014,8.2,wine
2014,,wine
2014,6.2,wine
2014,0.5,wine
2014,6.9,wine
2014,3.1,wine
2014,7.7,wine
2014,6.4,wine
2014,1.2,wine
2014,12.3,wine
2014,4.5,wine
2014,8.5,wine
2014,7.3,wine
2014,5.6,wine
2014,4.8,wine
2014,3.7,wine
2014,5,wine
2014,5.7,wine
2014,9.2,wine
2014,6.4,wine
2014,7.7,wine
2014,8.6,wine
2014,8.2,wine
2014,8.5,wine
2014,8.2,wine
2014,8,wine
2014,11.4,wine
2014,7.8,wine
2014,12,wine
2014,6,wine
2014,4.9,wine
2014,4,wine
2014,6.9,wine
2014,7.2,wine
2014,6.5,wine
2014,6.7,wine
2014,12.1,wine
2014,4.2,wine
2014,10.4,wine
2014,2.1,wine
2014,4.5,wine
2014,6.7,wine
2014,5.6,wine
2014,8.2,wine
2014,5.1,wine
2014,8,wine
2014,7.3,wine
2014,5.6,wine
2014,0.6,wine
2014,8.7,wine
2014,4.8,wine
2014,5.2,wine
2014,4.2,wine
2014,8.1,wine
2014,5.5,wine
2014,5.3,wine
2014,5.2,wine
2014,5.9,wine
2014,6.4,wine
2014,5.7,wine
2014,4.1,wine
2014,4.4,wine
